n_ptcl,time,
10000,4.416324e-01,
index,pos[0],pos[1],pos[2],vel[0],vel[1],vel[2],force[0],force[1],force[2],dens,pres,eng,eng_dot,mass,
0,-0.985,-0.985,0,0,0,0,0,0,0,0.743195,0.297278,1,0,0.0009,
1,-0.985,-0.955,0,0,0,0,0,0,0,0.989384,0.395754,1,0,0.0009,
2,-0.985,-0.925,0,0,0,0,0,0,0,1.00014,0.400055,1,0,0.0009,
3,-0.985,-0.895,0,0,0,0,0,0,0,1.00021,0.400083,1,0,0.0009,
4,-0.985,-0.865,0,0,0,0,0,0,0,1.00021,0.400083,1,0,0.0009,
5,-0.985,-0.835,0,0,0,0,0,0,0,1.00021,0.400083,1,0,0.0009,
6,-0.985,-0.805,0,0,0,0,5.32907e-17,5.32907e-17,0,1.00021,0.400083,1,0,0.0009,
7,-0.985,-0.775,0,5.85119e-16,5.85119e-16,0,3.83027e-16,2.73115e-16,0,1.00021,0.400083,1,0,0.0009,
8,-0.985,-0.745,0,2.5642e-15,1.99629e-15,0,9.39249e-16,4.996e-16,0,1.00021,0.400083,1,0,0.0009,
9,-0.985,-0.715,0,8.58748e-15,6.29863e-15,0,1.94844e-15,1.27232e-15,0,1.00021,0.400083,1,0,0.0009,
10,-0.985,-0.685,0,2.24066e-14,1.37503e-14,0,3.88689e-15,2.21823e-15,0,1.00021,0.400083,1,0,0.0009,
11,-0.985,-0.655,0,4.47788e-14,2.29573e-14,0,7.11098e-15,3.88689e-15,0,1.00021,0.400083,1,0,0.0009,
12,-0.985,-0.625,0,7.91975e-14,4.41592e-14,0,1.22702e-14,6.83453e-15,0,1.00021,0.400083,1,0,0.0009,
13,-0.985,-0.595,0,1.3425e-13,6.93538e-14,0,2.03737e-14,1.06049e-14,0,1.00021,0.400083,1,0,0.0009,
14,-0.985,-0.565,0,2.22311e-13,1.08144e-13,0,3.32534e-14,1.60405e-14,0,1.00021,0.400083,1,0,0.0009,
15,-0.985,-0.535,0,3.49608e-13,1.55693e-13,0,5.1632e-14,2.36478e-14,0,1.00021,0.400083,1,0,0.0009,
