n_ptcl,time,
10000,5.206866e-01,
index,pos[0],pos[1],pos[2],vel[0],vel[1],vel[2],force[0],force[1],force[2],dens,pres,eng,eng_dot,mass,
0,-0.985,-0.985,0,1.31996e-14,1.31996e-14,0,2.10831e-15,2.10831e-15,0,0.743195,0.297278,1,0,0.0009,
1,-0.985,-0.955,0,5.64639e-14,5.30049e-14,0,7.71383e-15,7.27085e-15,0,0.989384,0.395754,1,0,0.0009,
2,-0.985,-0.925,0,1.87582e-13,1.72679e-13,0,2.33114e-14,2.1313e-14,0,1.00014,0.400055,1,0,0.0009,
3,-0.985,-0.895,0,5.63349e-13,4.85235e-13,0,6.69498e-14,5.86131e-14,0,1.00021,0.400083,1,0,0.0009,
4,-0.985,-0.865,0,1.52547e-12,1.27289e-12,0,1.77361e-13,1.48045e-13,0,1.00021,0.400083,1,0,0.0009,
5,-0.985,-0.835,0,3.82175e-12,3.03737e-12,0,4.36544e-13,3.47615e-13,0,1.00021,0.400083,1,0,0.0009,
6,-0.985,-0.805,0,8.92165e-12,6.75132e-12,0,9.9964e-13,7.58726e-13,0,1.00021,0.400083,1,0,0.0009,
7,-0.985,-0.775,0,1.9454e-11,1.40269e-11,0,2.14595e-12,1.55165e-12,0,1.00021,0.400083,1,0,0.0009,
8,-0.985,-0.745,0,3.98387e-11,2.73331e-11,0,4.33059e-12,2.98145e-12,0,1.00021,0.400083,1,0,0.0009,
9,-0.985,-0.715,0,7.70528e-11,5.02875e-11,0,8.26389e-12,5.41095e-12,0,1.00021,0.400083,1,0,0.0009,
10,-0.985,-0.685,0,1.41392e-10,8.76674e-11,0,1.49797e-11,9.31993e-12,0,1.00021,0.400083,1,0,0.0009,
11,-0.985,-0.655,0,2.47371e-10,1.45567e-10,0,2.59132e-11,1.53087e-11,0,1.00021,0.400083,1,0,0.0009,
12,-0.985,-0.625,0,4.14387e-10,2.31251e-10,0,4.29605e-11,2.4077e-11,0,1.00021,0.400083,1,0,0.0009,
13,-0.985,-0.595,0,6.6734e-10,3.52896e-10,0,6.85259e-11,3.64042e-11,0,1.00021,0.400083,1,0,0.0009,
14,-0.985,-0.565,0,1.03696e-09,5.192e-10,0,1.05539e-10,5.3103e-11,0,1.00021,0.400083,1,0,0.0009,
15,-0.985,-0.535,0,1.55972e-09,7.38818e-10,0,1.57442e-10,7.4969e-11,0,1.00021,0.400083,1,0,0.0009,
16,-0.985,-0.505,0,2.27748e-09,1.01974e-09,0,2.28136e-10,1.02718e-10,0,1.00021,0.400083,1,0,0.0009,
17,-0.985,-0.475,0,3.23655e-09,1.36857e-09,0,3.21895e-10,1.36919e-10,0,1.00021,0.400083,1,0,0.0009,
18,-0.985,-0.445,0,4.48627e-09,1.78968e-09,0,4.43227e-10,1.77926e-10,0,1.00021,0.400083,1,0,0.0009,
19,-0.985,-0.415,0,6.07727e-09,2.28468e-09,0,5.96703e-10,2.25818e-10,0,1.00021,0.400083,1,0,0.0009,
20,-0.985,-0.385,0,8.05917e-09,2.85156e-09,0,7.86755e-10,2.80342e-10,0,1.00021,0.400083,1,0,0.0009,
21,-0.985,-0.355,0,1.04781e-08,3.48444e-09,0,1.01745e-09,3.40885e-10,0,1.00021,0.400083,1,0,0.0009,
22,-0.985,-0.325,0,1.33738e-08,4.17328e-09,0,1.29224e-09,4.06453e-10,0,1.00021,0.400083,1,0,0.0009,
23,-0.985,-0.295,0,1.67774e-08,4.90388e-09,0,1.61375e-09,4.75683e-10,0,1.00021,0.400083,1,0,0.0009,
24,-0.985,-0.265,0,2.07084e-08,5.65833e-09,0,1.98355e-09,5.46879e-10,0,1.00021,0.400083,1,0,0.0009,
25,-0.985,-0.235,0,2.51726e-08,6.4155e-09,0,2.40198e-09,6.18075e-10,0,1.00021,0.400083,1,0,0.0009,
26,-0.985,-0.205,0,3.01607e-08,7.15206e-09,0,2.86801e-09,6.87109e-10,0,1.00021,0.400083,1,0,0.0009,
27,-0.985,-0.175,0,3.56473e-08,7.84348e-09,0,3.37918e-09,7.51733e-10,0,1.00021,0.400083,1,0,0.0009,
28,-0.985,-0.145,0,4.15904e-08,8.46538e-09,0,3.93157e-09,8.09724e-10,0,1.00021,0.400083,1,0,0.0009,
29,-0.985,-0.115,0,4.79323e-08,8.99476e-09,0,4.5199e-09,8.58996e-10,0,1.00021,0.400083,1,0,0.0009,
30,-0.985,-0.085,0,5.4601e-08,9.41138e-09,0,5.13761e-09,8.97715e-10,0,1.00021,0.400083,1,0,0.0009,
31,-0.985,-0.055,0,6.15125e-08,9.6989e-09,0,5.77714e-09,9.2441e-10,0,1.00021,0.400083,1,0,0.0009,
32,-0.985,-0.025,0,6.85736e-08,9.84583e-09,0,6.43009e-09,9.38046e-10,0,1.00021,0.400083,1,0,0.0009,
33,-0.985,0.005,0,7.56854e-08,9.84621e-09,0,7.08759e-09,9.38086e-10,0,1.00021,0.400083,1,0,0.0009,
34,-0.985,0.035,0,8.27471e-08,9.70004e-09,0,7.74059e-09,9.24532e-10,0,1.00021,0.400083,1,0,0.0009,
35,-0.985,0.065,0,8.96597e-08,9.41319e-09,0,8.38022e-09,8.97908e-10,0,1.00021,0.400083,1,0,0.0009,
36,-0.985,0.095,0,9.63298e-08,8.99706e-09,0,8.99809e-09,8.5924e-10,0,1.00021,0.400083,1,0,0.0009,
37,-0.985,0.125,0,1.02673e-07,8.46787e-09,0,9.58658e-09,8.09986e-10,0,1.00021,0.400083,1,0,0.0009,
38,-0.985,0.155,0,1.08618e-07,7.84557e-09,0,1.01391e-08,7.51946e-10,0,1.00021,0.400083,1,0,0.0009,
39,-0.985,0.185,0,1.14105e-07,7.1526e-09,0,1.06503e-08,6.87147e-10,0,1.00021,0.400083,1,0,0.0009,
40,-0.985,0.215,0,1.1909e-07,6.41241e-09,0,1.1116e-08,6.1771e-10,0,1.00021,0.400083,1,0,0.0009,
41,-0.985,0.245,0,1.23547e-07,5.6479e-09,0,1.15336e-08,5.45718e-10,0,1.00021,0.400083,1,0,0.0009,
42,-0.985,0.275,0,1.2746e-07,4.87996e-09,0,1.19015e-08,4.73073e-10,0,1.00021,0.400083,1,0,0.0009,
43,-0.985,0.305,0,1.30829e-07,4.12612e-09,0,1.22193e-08,4.01384e-10,0,1.00021,0.400083,1,0,0.0009,
44,-0.985,0.335,0,1.33662e-07,3.39955e-09,0,1.24876e-08,3.31867e-10,0,1.00021,0.400083,1,0,0.0009,
45,-0.985,0.365,0,1.35977e-07,2.70833e-09,0,1.27076e-08,2.65289e-10,0,1.00021,0.400083,1,0,0.0009,
46,-0.985,0.395,0,1.37794e-07,2.05527e-09,0,1.28808e-08,2.01944e-10,0,1.00021,0.400083,1,0,0.0009,
47,-0.985,0.425,0,1.39133e-07,1.43814e-09,0,1.30088e-08,1.4167e-10,0,1.00021,0.400083,1,0,0.0009,
48,-0.985,0.455,0,1.40014e-07,8.50177e-10,0,1.30932e-08,8.3905e-11,0,1.00021,0.400083,1,0,0.0009,
49,-0.985,0.485,0,1.4045e-07,2.81194e-10,0,1.31351e-08,2.77797e-11,0,1.00021,0.400083,1,0,0.0009,
50,-0.985,0.515,0,1.4045e-07,-2.81195e-10,0,1.31351e-08,-2.77793e-11,0,1.00021,0.400083,1,0,0.0009,
51,-0.985,0.545,0,1.40014e-07,-8.50173e-10,0,1.30932e-08,-8.39052e-11,0,1.00021,0.400083,1,0,0.0009,
52,-0.985,0.575,0,1.39133e-07,-1.43813e-09,0,1.30088e-08,-1.4167e-10,0,1.00021,0.400083,1,0,0.0009,
53,-0.985,0.605,0,1.37794e-07,-2.05527e-09,0,1.28808e-08,-2.01944e-10,0,1.00021,0.400083,1,0,0.0009,
54,-0.985,0.635,0,1.35977e-07,-2.70833e-09,0,1.27076e-08,-2.6529e-10,0,1.00021,0.400083,1,0,0.0009,
55,-0.985,0.665,0,1.33662e-07,-3.39956e-09,0,1.24876e-08,-3.31866e-10,0,1.00021,0.400083,1,0,0.0009,
56,-0.985,0.695,0,1.30829e-07,-4.12612e-09,0,1.22193e-08,-4.01384e-10,0,1.00021,0.400083,1,0,0.0009,
57,-0.985,0.725,0,1.2746e-07,-4.87995e-09,0,1.19015e-08,-4.73073e-10,0,1.00021,0.400083,1,0,0.0009,
58,-0.985,0.755,0,1.23547e-07,-5.64792e-09,0,1.15336e-08,-5.45718e-10,0,1.00021,0.400083,1,0,0.0009,
59,-0.985,0.785,0,1.1909e-07,-6.41241e-09,0,1.1116e-08,-6.1771e-10,0,1.00021,0.400083,1,0,0.0009,
