n_ptcl,time,
10000,6.834454e-01,
index,pos[0],pos[1],pos[2],vel[0],vel[1],vel[2],force[0],force[1],force[2],dens,pres,eng,eng_dot,mass,
0,-0.985,-0.985,0,2.54087e-08,2.6871e-08,0,1.75456e-09,1.86306e-09,0,0.743195,0.297278,1,0,0.0009,
1,-0.985,-0.955,0,5.65995e-08,5.59707e-08,0,3.71084e-09,3.69445e-09,0,0.989384,0.395754,1,0,0.0009,
2,-0.985,-0.925,0,1.25986e-07,1.18507e-07,0,7.89888e-09,7.48036e-09,0,1.00014,0.400055,1,0,0.0009,
3,-0.985,-0.895,0,2.63739e-07,2.3776e-07,0,1.58267e-08,1.43739e-08,0,1.00021,0.400083,1,0,0.0009,
4,-0.985,-0.865,0,5.2095e-07,4.50918e-07,0,2.99303e-08,2.61341e-08,0,1.00021,0.400083,1,0,0.0009,
5,-0.985,-0.835,0,9.74843e-07,8.10116e-07,0,5.36455e-08,4.50474e-08,0,1.00021,0.400083,1,0,0.0009,
6,-0.985,-0.805,0,1.73407e-06,1.38288e-06,0,9.14417e-08,7.38308e-08,0,1.00021,0.400082,1,0,0.0009,
7,-0.985,-0.775,0,2.9418e-06,2.25009e-06,0,1.48714e-07,1.1542e-07,0,1.0002,0.400082,1,0,0.0009,
8,-0.985,-0.745,0,4.77517e-06,3.50102e-06,0,2.31496e-07,1.7266e-07,0,1.0002,0.400081,1,0,0.0009,
9,-0.985,-0.715,0,7.44025e-06,5.22588e-06,0,3.46e-07,2.47936e-07,0,1.0002,0.40008,1,0,0.0009,
10,-0.985,-0.685,0,1.11627e-05,7.50691e-06,0,4.98044e-07,3.42818e-07,0,1.0002,0.400079,1,0,0.0009,
11,-0.985,-0.655,0,1.61755e-05,1.04094e-05,0,6.92451e-07,4.57785e-07,0,1.00019,0.400078,1,0,0.0009,
12,-0.984999,-0.625,0,2.27043e-05,1.3974e-05,0,9.32504e-07,5.92075e-07,0,1.00019,0.400076,1,0,0.0009,
13,-0.984999,-0.595,0,3.09545e-05,1.82125e-05,0,1.21954e-06,7.4369e-07,0,1.00018,0.400073,1,0,0.0009,
14,-0.984999,-0.564999,0,4.10984e-05,2.3105e-05,0,1.55273e-06,9.09551e-07,0,1.00018,0.40007,1,0,0.0009,
15,-0.984999,-0.534999,0,5.32673e-05,2.8602e-05,0,1.92909e-06,1.08576e-06,0,1.00017,0.400067,1,0,0.0009,
16,-0.984998,-0.504999,0,6.75456e-05,3.46278e-05,0,2.34364e-06,1.26793e-06,0,1.00016,0.400063,1,0,0.0009,
17,-0.984998,-0.474999,0,8.39688e-05,4.10852e-05,0,2.78975e-06,1.45152e-06,0,1.00015,0.400058,1,0,0.0009,
18,-0.984997,-0.444999,0,0.000102525,4.78617e-05,0,3.25959e-06,1.63218e-06,0,1.00013,0.400053,1,0,0.0009,
19,-0.984997,-0.414999,0,0.000123158,5.48352e-05,0,3.74459e-06,1.80596e-06,0,1.00012,0.400048,1,0,0.0009,
20,-0.984996,-0.384998,0,0.000145771,6.18795e-05,0,4.236e-06,1.96956e-06,0,1.0001,0.400042,1,0,0.0009,
21,-0.984995,-0.354998,0,0.000170239,6.88692e-05,0,4.72533e-06,2.12038e-06,0,1.00009,0.400035,1,0,0.0009,
