n_ptcl,time,
10000,7.206475e-01,
index,pos[0],pos[1],pos[2],vel[0],vel[1],vel[2],force[0],force[1],force[2],dens,pres,eng,eng_dot,mass,
0,-0.985,-0.985,0,2.52714e-07,2.69824e-07,0,1.4788e-08,1.58835e-08,0,0.743194,0.297278,1,0,0.0009,
1,-0.985,-0.955,0,5.04286e-07,5.06705e-07,0,2.77031e-08,2.81397e-08,0,0.989384,0.395754,1,0,0.0009,
2,-0.985,-0.925,0,1.02448e-06,9.78956e-07,0,5.3272e-08,5.1491e-08,0,1.00014,0.400055,1,0,0.0009,
3,-0.985,-0.895,0,1.96631e-06,1.80232e-06,0,9.68118e-08,8.98583e-08,0,1.00021,0.400082,1,0,0.0009,
4,-0.985,-0.865,0,3.5707e-06,3.14949e-06,0,1.66248e-07,1.48825e-07,0,1.0002,0.400082,1,0,0.0009,
5,-0.985,-0.835,0,6.16038e-06,5.23207e-06,0,2.70877e-07,2.34221e-07,0,1.0002,0.400081,1,0,0.0009,
6,-0.985,-0.805,0,1.01313e-05,8.28504e-06,0,4.20121e-07,3.51137e-07,0,1.0002,0.400079,1,0,0.0009,
7,-0.985,-0.775,0,1.59319e-05,1.25428e-05,0,6.22012e-07,5.02856e-07,0,1.00019,0.400077,1,0,0.0009,
8,-0.984999,-0.745,0,2.40289e-05,1.82093e-05,0,8.81485e-07,6.8987e-07,0,1.00019,0.400075,1,0,0.0009,
9,-0.984999,-0.714999,0,3.48618e-05,2.54267e-05,0,1.19874e-06,9.09218e-07,0,1.00018,0.400072,1,0,0.0009,
10,-0.984999,-0.684999,0,4.87942e-05,3.42504e-05,0,1.56802e-06,1.15431e-06,0,1.00017,0.400067,1,0,0.0009,
11,-0.984998,-0.654999,0,6.60688e-05,4.46331e-05,0,1.97705e-06,1.4153e-06,0,1.00016,0.400062,1,0,0.0009,
12,-0.984997,-0.624998,0,8.67734e-05,5.64226e-05,0,2.40721e-06,1.67993e-06,0,1.00014,0.400056,1,0,0.0009,
13,-0.984997,-0.594998,0,0.000110823,6.93725e-05,0,2.83447e-06,1.93475e-06,0,1.00012,0.400049,1,0,0.0009,
14,-0.984996,-0.564997,0,0.000137958,8.31642e-05,0,3.23094e-06,2.16638e-06,0,1.0001,0.400042,1,0,0.0009,
15,-0.984995,-0.534997,0,0.000167764,9.74353e-05,0,3.56678e-06,2.36279e-06,0,1.00008,0.400033,1,0,0.0009,
16,-0.984993,-0.504996,0,0.0001997,0.00011181,0,3.81216e-06,2.51432e-06,0,1.00006,0.400024,1,0,0.0009,
17,-0.984992,-0.474996,0,0.000233134,0.000125929,0,3.93926e-06,2.6144e-06,0,1.00004,0.400015,1,0,0.0009,
