n_ptcl,time,
10000,4.834847e-01,
index,pos[0],pos[1],pos[2],vel[0],vel[1],vel[2],force[0],force[1],force[2],dens,pres,eng,eng_dot,mass,
0,-0.985,-0.985,0,0,0,0,0,0,0,0.743195,0.297278,1,0,0.0009,
1,-0.985,-0.955,0,0,0,0,0,0,0,0.989384,0.395754,1,0,0.0009,
2,-0.985,-0.925,0,5.85119e-16,5.85119e-16,0,2.19824e-16,2.19824e-16,0,1.00014,0.400055,1,0,0.0009,
3,-0.985,-0.895,0,5.42095e-15,4.85304e-15,0,1.22569e-15,1.11244e-15,0,1.00021,0.400083,1,0,0.0009,
4,-0.985,-0.865,0,2.35252e-14,1.95154e-14,0,3.77698e-15,3.00093e-15,0,1.00021,0.400083,1,0,0.0009,
5,-0.985,-0.835,0,6.86138e-14,5.53281e-14,0,9.5457e-15,7.66054e-15,0,1.00021,0.400083,1,0,0.0009,
6,-0.985,-0.805,0,1.77807e-13,1.3012e-13,0,2.35978e-14,1.74794e-14,0,1.00021,0.400083,1,0,0.0009,
7,-0.985,-0.775,0,4.00669e-13,2.88808e-13,0,5.19551e-14,3.71936e-14,0,1.00021,0.400083,1,0,0.0009,
8,-0.985,-0.745,0,8.59866e-13,5.83931e-13,0,1.09526e-13,7.47735e-14,0,1.00021,0.400083,1,0,0.0009,
9,-0.985,-0.715,0,1.71841e-12,1.10625e-12,0,2.17603e-13,1.4122e-13,0,1.00021,0.400083,1,0,0.0009,
10,-0.985,-0.685,0,3.26014e-12,2.00372e-12,0,4.0839e-13,2.51742e-13,0,1.00021,0.400083,1,0,0.0009,
11,-0.985,-0.655,0,5.87483e-12,3.42349e-12,0,7.29307e-13,4.26545e-13,0,1.00021,0.400083,1,0,0.0009,
12,-0.985,-0.625,0,1.01111e-11,5.57986e-12,0,1.24495e-12,6.89392e-13,0,1.00021,0.400083,1,0,0.0009,
13,-0.985,-0.595,0,1.66828e-11,8.72336e-12,0,2.03981e-12,1.07003e-12,0,1.00021,0.400083,1,0,0.0009,
