n_ptcl,time,
10000,6.415931e-01,
index,pos[0],pos[1],pos[2],vel[0],vel[1],vel[2],force[0],force[1],force[2],dens,pres,eng,eng_dot,mass,
0,-0.985,-0.985,0,1.28709e-09,1.34987e-09,0,1.05376e-10,1.10825e-10,0,0.743195,0.297278,1,0,0.0009,
1,-0.985,-0.955,0,3.22306e-09,3.14743e-09,0,2.52625e-10,2.47705e-10,0,0.989384,0.395754,1,0,0.0009,
2,-0.985,-0.925,0,7.91016e-09,7.35188e-09,0,5.97154e-10,5.57204e-10,0,1.00014,0.400055,1,0,0.0009,
3,-0.985,-0.895,0,1.81568e-08,1.61585e-08,0,1.32195e-09,1.18168e-09,0,1.00021,0.400083,1,0,0.0009,
4,-0.985,-0.865,0,3.91462e-08,3.33854e-08,0,2.75204e-09,2.3594e-09,0,1.00021,0.400083,1,0,0.0009,
5,-0.985,-0.835,0,7.95901e-08,6.50181e-08,0,5.40962e-09,4.44681e-09,0,1.00021,0.400083,1,0,0.0009,
6,-0.985,-0.805,0,1.53144e-07,1.19754e-07,0,1.00765e-08,7.93733e-09,0,1.00021,0.400083,1,0,0.0009,
7,-0.985,-0.775,0,2.7987e-07,2.09333e-07,0,1.78488e-08,1.34641e-08,0,1.00021,0.400083,1,0,0.0009,
8,-0.985,-0.745,0,4.87499e-07,3.48508e-07,0,3.01708e-08,2.17805e-08,0,1.00021,0.400083,1,0,0.0009,
9,-0.985,-0.715,0,8.12235e-07,5.54549e-07,0,4.88357e-08,3.37161e-08,0,1.00021,0.400083,1,0,0.0009,
10,-0.985,-0.685,0,1.29891e-06,8.4628e-07,0,7.59497e-08,5.01129e-08,0,1.00021,0.400082,1,0,0.0009,
11,-0.985,-0.655,0,2.0004e-06,1.24277e-06,0,1.13858e-07,7.17501e-08,0,1.00021,0.400082,1,0,0.0009,
12,-0.985,-0.625,0,2.97631e-06,1.76181e-06,0,1.65044e-07,9.92691e-08,0,1.0002,0.400082,1,0,0.0009,
13,-0.985,-0.595,0,4.29111e-06,2.41848e-06,0,2.32009e-07,1.3311e-07,0,1.0002,0.400081,1,0,0.0009,
14,-0.985,-0.565,0,6.01186e-06,3.22377e-06,0,3.17155e-07,1.73466e-07,0,1.0002,0.400081,1,0,0.0009,
15,-0.985,-0.535,0,8.20571e-06,4.18366e-06,0,4.22669e-07,2.20263e-07,0,1.0002,0.40008,1,0,0.0009,
16,-0.985,-0.505,0,1.09373e-05,5.29834e-06,0,5.50424e-07,2.73154e-07,0,1.0002,0.400079,1,0,0.0009,
17,-0.985,-0.475,0,1.42665e-05,6.56192e-06,0,7.01908e-07,3.31537e-07,0,1.0002,0.400078,1,0,0.0009,
18,-0.985,-0.445,0,1.82455e-05,7.96237e-06,0,8.78168e-07,3.94583e-07,0,1.00019,0.400077,1,0,0.0009,
19,-0.985,-0.415,0,2.29175e-05,9.48171e-06,0,1.07978e-06,4.61272e-07,0,1.00019,0.400076,1,0,0.0009,
20,-0.984999,-0.385,0,2.83143e-05,1.10965e-05,0,1.30683e-06,5.30435e-07,0,1.00019,0.400074,1,0,0.0009,
21,-0.984999,-0.355,0,3.44554e-05,1.27786e-05,0,1.55894e-06,6.00804e-07,0,1.00018,0.400072,1,0,0.0009,
22,-0.984999,-0.325,0,4.13466e-05,1.44961e-05,0,1.83531e-06,6.71055e-07,0,1.00018,0.40007,1,0,0.0009,
23,-0.984999,-0.295,0,4.89801e-05,1.62142e-05,0,2.13472e-06,7.39853e-07,0,1.00017,0.400068,1,0,0.0009,
24,-0.984999,-0.265,0,5.73341e-05,1.78966e-05,0,2.45565e-06,8.05895e-07,0,1.00016,0.400066,1,0,0.0009,
25,-0.984999,-0.235,0,6.63733e-05,1.95065e-05,0,2.79626e-06,8.67942e-07,0,1.00016,0.400063,1,0,0.0009,
26,-0.984998,-0.205,0,7.60496e-05,2.10079e-05,0,3.15453e-06,9.24852e-07,0,1.00015,0.400061,1,0,0.0009,
27,-0.984998,-0.175,0,8.63032e-05,2.23667e-05,0,3.52828e-06,9.756e-07,0,1.00014,0.400058,1,0,0.0009,
28,-0.984998,-0.144999,0,9.70639e-05,2.35516e-05,0,3.91521e-06,1.01929e-06,0,1.00014,0.400055,1,0,0.0009,
29,-0.984998,-0.114999,0,0.000108252,2.45352e-05,0,4.31298e-06,1.05518e-06,0,1.00013,0.400052,1,0,0.0009,
30,-0.984997,-0.0849994,0,0.000119782,2.52945e-05,0,4.71919e-06,1.08265e-06,0,1.00012,0.400049,1,0,0.0009,
31,-0.984997,-0.0549994,0,0.000131559,2.58117e-05,0,5.13146e-06,1.10126e-06,0,1.00011,0.400045,1,0,0.0009,
