n_ptcl,time,
961,0,
index,pos[0],pos[1],pos[2],vel[0],vel[1],vel[2],force[0],force[1],force[2],dens,pres,eng,eng_dot,mass,
0,0.0158114,0.0158114,0,0,0,0,0,0,0,0.813786,0.325515,1,0,0.00104058,
1,0.0158114,0.0474342,0,0,0,0,0,0,0,1.02976,0.411902,1,0,0.00104058,
2,0.0158114,0.0790569,0,0,0,0,0,0,0,1.04051,0.416203,1,0,0.00104058,
3,0.0158114,0.11068,0,0,0,0,0,0,0,1.04051,0.416203,1,0,0.00104058,
4,0.0158114,0.142302,0,0,0,0,0,0,0,1.04051,0.416203,1,0,0.00104058,
5,0.0158114,0.173925,0,0,0,0,0,0,0,1.04051,0.416203,1,0,0.00104058,
6,0.0158114,0.205548,0,0,0,0,0,0,0,1.04051,0.416203,1,0,0.00104058,
7,0.0158114,0.237171,0,0,0,0,0,0,0,1.04051,0.416203,1,0,0.00104058,
8,0.0158114,0.268794,0,0,0,0,0,0,0,1.04051,0.416203,1,0,0.00104058,
9,0.0158114,0.300416,0,0,0,0,0,0,0,1.04051,0.416203,1,0,0.00104058,
10,0.0158114,0.332039,0,0,0,0,0,0,0,1.04051,0.416203,1,0,0.00104058,
11,0.0158114,0.363662,0,0,0,0,0,0,0,1.04051,0.416203,1,0,0.00104058,
12,0.0158114,0.395285,0,0,0,0,0,0,0,1.04051,0.416203,1,0,0.00104058,
13,0.0158114,0.426907,0,0,0,0,0,0,0,1.04051,0.416203,1,0,0.00104058,
14,0.0158114,0.45853,0,0,0,0,0,0,0,1.04051,0.416203,1,0,0.00104058,
15,0.0158114,0.490153,0,0,0,0,0,0,0,1.04051,0.416203,1,0,0.00104058,
16,0.0158114,0.521776,0,0,0,0,0,0,0,1.04051,0.416203,1,0,0.00104058,
17,0.0158114,0.553399,0,0,0,0,0,0,0,1.04051,0.416203,1,0,0.00104058,
18,0.0158114,0.585021,0,0,0,0,0,0,0,1.04051,0.416203,1,0,0.00104058,
19,0.0158114,0.616644,0,0,0,0,0,0,0,1.04051,0.416203,1,0,0.00104058,
20,0.0158114,0.648267,0,0,0,0,0,0,0,1.04051,0.416203,1,0,0.00104058,
21,0.0158114,0.67989,0,0,0,0,0,0,0,1.04051,0.416203,1,0,0.00104058,
22,0.0158114,0.711512,0,0,0,0,0,0,0,1.04051,0.416203,1,0,0.00104058,
23,0.0158114,0.743135,0,0,0,0,0,0,0,1.04051,0.416203,1,0,0.00104058,
24,0.0158114,0.774758,0,0,0,0,0,0,0,1.04051,0.416203,1,0,0.00104058,
